bin_centres,dsigma
-0.9666568021163784,0.06512156173263674
-0.8999914564997629,0.06374222184998139
-0.8333261108831471,0.05787654416717437
-0.7666607652665315,0.0540589772192192
-0.6999954196499159,0.05241491554090274
-0.6333300740333001,0.048095770453800174
-0.5666647284166846,0.04604765971894831
-0.4999993828000689,0.044083145340621015
-0.43333403718345326,0.04082288743616295
-0.3666686915668376,0.03991726024048015
-0.300003345950222,0.0376183604360546
-0.2333380003336063,0.03678239687080894
-0.1666726547169906,0.03562598060555244
-0.10000730910037497,0.03586283694903871
-0.03334196348375934,0.03371719713157486
0.033323382132856294,0.03557024970120273
0.09998872774947198,0.03491541157509363
0.16665407336608762,0.0356538460577273
0.23331941898270325,0.03679632959689637
0.2999847645993189,0.03909522940132192
0.3666501102159345,0.03933208574480819
0.43331545583255016,0.042090765510118866
0.4999808014491658,0.04299639270580166
0.5666461470657815,0.04686969055810654
0.6333114926823972,0.049084994006007535
0.6999768382990128,0.053320542736585534
0.7666421839156284,0.05404504449313177
0.8333075295322441,0.06039836758899877
0.8999728751488597,0.06473144540218875
0.9666382207654752,0.06658449797181663